factor,horizon,mean_ic,std_ic,ir,t_stat,hit_rate,n_obs
momentum_5d,1,-0.018216,0.426271,-0.042733,-2.010283,0.475825,2213
momentum_5d,3,0.006801,0.416967,0.016312,0.767002,0.496608,2211
momentum_5d,7,0.013341,0.413605,0.032256,1.515341,0.503851,2207
momentum_5d,14,0.049519,0.406304,0.121878,5.716586,0.538182,2200
momentum_10d,1,-0.008093,0.425206,-0.019033,-0.894339,0.481431,2208
momentum_10d,3,0.012889,0.415163,0.031046,1.458164,0.511786,2206
momentum_10d,7,0.034773,0.419475,0.082897,3.889961,0.535876,2202
momentum_10d,14,0.069683,0.409856,0.170019,7.965518,0.575399,2195
momentum_20d,1,0.005522,0.414570,0.013321,0.624509,0.496360,2198
momentum_20d,3,0.033428,0.417061,0.080151,3.755978,0.530965,2196
momentum_20d,7,0.046091,0.423722,0.108776,5.092753,0.549270,2192
momentum_20d,14,0.066236,0.414058,0.159968,7.477564,0.571625,2185
momentum_40d,1,0.005116,0.428697,0.011934,0.556952,0.486685,2178
momentum_40d,3,0.017595,0.425170,0.041382,1.930387,0.504136,2176
momentum_40d,7,0.012237,0.424527,0.028826,1.343415,0.499079,2172
momentum_40d,14,0.017998,0.420426,0.042810,1.991931,0.513164,2165
momentum_60d,1,0.007034,0.425049,0.016548,0.768716,0.509268,2158
momentum_60d,3,0.027137,0.426227,0.063668,2.956269,0.528293,2156
momentum_60d,7,0.027026,0.422079,0.064030,2.970349,0.528346,2152
momentum_60d,14,0.034222,0.423357,0.080836,3.743849,0.526807,2145
momentum_120d,1,0.007642,0.431630,0.017705,0.810979,0.504766,2098
momentum_120d,3,0.025794,0.433425,0.059512,2.724586,0.509542,2096
momentum_120d,7,0.029453,0.435675,0.067602,3.092010,0.514818,2092
momentum_120d,14,0.031052,0.438959,0.070740,3.230095,0.523261,2085
zscore_vs_ma10,1,0.016329,0.401186,0.040703,1.913021,0.507922,2209
zscore_vs_ma10,3,0.025785,0.386357,0.066738,3.135285,0.517444,2207
zscore_vs_ma10,7,0.031962,0.397875,0.080331,3.770447,0.525647,2203
zscore_vs_ma10,14,0.050528,0.386010,0.130898,6.134082,0.544171,2196
zscore_vs_ma20,1,0.016855,0.399439,0.042197,1.978755,0.501592,2199
zscore_vs_ma20,3,0.033875,0.387255,0.087475,4.100152,0.541193,2197
zscore_vs_ma20,7,0.049381,0.404542,0.122067,5.716333,0.542180,2193
zscore_vs_ma20,14,0.063102,0.401098,0.157323,7.355574,0.565416,2186
zscore_vs_ma40,1,0.012390,0.409870,0.030229,1.411077,0.498853,2179
zscore_vs_ma40,3,0.036780,0.403262,0.091205,4.255472,0.533303,2177
zscore_vs_ma40,7,0.034333,0.413832,0.082964,3.867386,0.524160,2173
zscore_vs_ma40,14,0.040007,0.407100,0.098273,4.573638,0.548015,2166
rsi_14,1,0.014617,0.401096,0.036444,1.710907,0.500907,2204
rsi_14,3,0.033810,0.396691,0.085231,3.999486,0.513624,2202
rsi_14,7,0.052236,0.403657,0.129406,6.066911,0.541401,2198
rsi_14,14,0.070071,0.393194,0.178211,8.341700,0.570516,2191
realized_vol_20d,1,-0.057856,0.464891,-0.124450,-5.834558,0.448590,2198
realized_vol_20d,3,-0.063527,0.460622,-0.137915,-6.462906,0.438069,2196
realized_vol_20d,7,-0.073842,0.453237,-0.162922,-7.627798,0.431569,2192
realized_vol_20d,14,-0.077581,0.446363,-0.173807,-8.124415,0.417391,2185
natr_14,1,-0.069478,0.473970,-0.146588,-6.883413,0.431746,2205
natr_14,3,-0.085688,0.466907,-0.183523,-8.613879,0.414889,2203
natr_14,7,-0.102972,0.468441,-0.219819,-10.308097,0.412915,2199
natr_14,14,-0.115070,0.457306,-0.251625,-11.780803,0.402828,2192
vol_change,1,0.001035,0.389031,0.002660,0.123579,0.491196,2158
vol_change,3,0.022418,0.390829,0.057360,2.663398,0.513451,2156
