atr,high_lb,top_n,rebal,vol_w,dir,vol_tgt,Sharpe,CAGR,MDD,Calmar,Trades
20,80,3,3,0.3000,long,0.0000,1.5766,1.4254,-0.7723,1.8457,737
14,80,3,3,0.3000,long,0.0000,1.5532,1.3374,-0.7729,1.7303,701
10,80,3,3,0.3000,long,0.0000,1.4999,1.2366,-0.7911,1.5630,729
20,50,3,3,0.3000,long,0.0000,1.4952,1.3111,-0.7693,1.7043,883
20,30,3,3,0.3000,long,0.0000,1.4846,1.3053,-0.7301,1.7880,1045
20,30,3,3,0.3000,long,0.2500,1.4364,0.4623,-0.3930,1.1763,7121
20,80,3,3,0.5000,long,0.0000,1.4309,1.0935,-0.7217,1.5152,595
14,80,3,3,0.3000,long,0.2500,1.4082,0.4720,-0.4739,0.9961,6793
10,80,1,7,0.3000,long,0.0000,1.4054,1.3031,-0.7295,1.7863,237
14,50,3,3,0.3000,long,0.0000,1.4017,1.1175,-0.7834,1.4264,855
10,30,3,3,0.3000,long,0.2500,1.3894,0.4399,-0.3958,1.1114,7127
20,80,2,3,0.3000,long,0.0000,1.3798,1.0433,-0.7886,1.3229,574
20,80,3,3,0.3000,long,0.2500,1.3755,0.4601,-0.4733,0.9721,6811
14,80,1,7,0.5000,long,0.2500,1.3608,0.4426,-0.3966,1.1160,2246
14,30,3,3,0.3000,long,0.2500,1.3580,0.4239,-0.4029,1.0520,7108
10,30,3,3,0.3000,long,0.0000,1.3553,1.0485,-0.7421,1.4128,1057
10,80,3,3,0.3000,long,0.2500,1.3491,0.4444,-0.4825,0.9210,6807
10,50,3,3,0.3000,long,0.0000,1.3476,1.0298,-0.7813,1.3182,879
14,80,1,7,0.7000,long,0.2500,1.3465,0.4183,-0.4299,0.9729,2244
14,30,3,3,0.3000,long,0.0000,1.3454,1.0322,-0.7356,1.4032,1019
14,80,1,7,0.3000,long,0.0000,1.3452,1.1433,-0.7398,1.5455,237
14,80,3,3,0.5000,long,0.0000,1.3439,0.9527,-0.7355,1.2953,577
10,30,3,7,0.3000,long,0.0000,1.3435,1.0551,-0.7379,1.4299,579
20,50,3,3,0.3000,long,0.2500,1.3417,0.4269,-0.4428,0.9643,6977
20,80,2,3,0.5000,long,0.0000,1.3333,0.9246,-0.7354,1.2572,452
14,80,2,3,0.3000,long,0.0000,1.3191,0.9458,-0.7906,1.1964,572
10,50,3,7,0.3000,long,0.0000,1.3090,1.0045,-0.8146,1.2331,507
20,80,1,7,0.3000,long,0.2500,1.3084,0.4314,-0.3980,1.0842,2257
14,80,1,7,0.5000,long,0.0000,1.3018,0.9821,-0.7077,1.3878,199
14,50,3,3,0.3000,long,0.2500,1.2938,0.4024,-0.4581,0.8783,6963
20,80,1,7,0.7000,long,0.2500,1.2936,0.3966,-0.4561,0.8696,2238
10,50,1,14,0.3000,long,0.0000,1.2933,1.1530,-0.7833,1.4720,151
14,80,1,7,0.3000,long,0.2500,1.2920,0.4185,-0.4109,1.0183,2265
14,80,2,7,0.5000,long,0.0000,1.2906,0.8580,-0.7459,1.1503,268
20,80,2,7,0.3000,long,0.0000,1.2898,0.9706,-0.7836,1.2385,350
20,80,1,7,0.3000,long,0.0000,1.2887,1.0678,-0.7209,1.4812,221
14,80,2,7,0.5000,long,0.2500,1.2843,0.3930,-0.4592,0.8557,4427
10,80,3,7,0.3000,long,0.0000,1.2829,0.9194,-0.7961,1.1548,439
10,50,3,3,0.3000,long,0.2500,1.2818,0.3982,-0.4526,0.8799,6975
14,80,3,7,0.3000,long,0.0000,1.2808,0.9143,-0.8009,1.1416,391
