atr,vol_lb,metric,top_n,rebal,dir,vol_tgt,Sharpe,CAGR,MDD,Calmar,Trades
14,20,natr,2,14,long,0.1500,1.2816,0.2345,-0.2820,0.8315,4490
14,40,natr,2,14,long,0.1500,1.2816,0.2345,-0.2820,0.8315,4490
14,10,natr,2,14,long,0.1500,1.2816,0.2345,-0.2820,0.8315,4490
20,40,natr,2,14,long,0.1500,1.2732,0.2340,-0.2696,0.8681,4486
20,10,natr,2,14,long,0.1500,1.2732,0.2340,-0.2696,0.8681,4486
20,20,natr,2,14,long,0.1500,1.2732,0.2340,-0.2696,0.8681,4486
14,40,natr,2,14,long,0.2500,1.2678,0.3871,-0.4355,0.8890,4490
14,20,natr,2,14,long,0.2500,1.2678,0.3871,-0.4355,0.8890,4490
14,10,natr,2,14,long,0.2500,1.2678,0.3871,-0.4355,0.8890,4490
20,10,natr,2,14,long,0.2500,1.2593,0.3861,-0.4189,0.9217,4486
20,40,natr,2,14,long,0.2500,1.2593,0.3861,-0.4189,0.9217,4486
20,20,natr,2,14,long,0.2500,1.2593,0.3861,-0.4189,0.9217,4486
20,40,natr,3,14,long,0.1500,1.2461,0.2280,-0.2725,0.8365,6710
20,20,natr,3,14,long,0.1500,1.2461,0.2280,-0.2725,0.8365,6710
20,10,natr,3,14,long,0.1500,1.2461,0.2280,-0.2725,0.8365,6710
20,40,natr,3,14,long,0.2500,1.2284,0.3723,-0.4194,0.8878,6707
20,20,natr,3,14,long,0.2500,1.2284,0.3723,-0.4194,0.8878,6707
20,10,natr,3,14,long,0.2500,1.2284,0.3723,-0.4194,0.8878,6707
14,20,natr,2,14,long,0.0000,1.2241,0.8129,-0.7187,1.1311,142
14,40,natr,2,14,long,0.0000,1.2241,0.8129,-0.7187,1.1311,142
14,10,natr,2,14,long,0.0000,1.2241,0.8129,-0.7187,1.1311,142
20,40,natr,3,14,long,0.0000,1.2060,0.8172,-0.7193,1.1361,163
20,10,natr,3,14,long,0.0000,1.2060,0.8172,-0.7193,1.1361,163
20,20,natr,3,14,long,0.0000,1.2060,0.8172,-0.7193,1.1361,163
20,20,realized,3,14,long,0.1500,1.2045,0.2425,-0.2608,0.9297,6751
10,20,realized,3,14,long,0.1500,1.2045,0.2425,-0.2608,0.9297,6751
14,20,realized,3,14,long,0.1500,1.2045,0.2425,-0.2608,0.9297,6751
10,20,realized,3,14,long,0.0000,1.2014,1.0879,-0.7372,1.4758,245
14,20,realized,3,14,long,0.0000,1.2014,1.0879,-0.7372,1.4758,245
20,20,realized,3,14,long,0.0000,1.2014,1.0879,-0.7372,1.4758,245
20,20,natr,2,14,long,0.0000,1.2011,0.7884,-0.6865,1.1484,134
20,40,natr,2,14,long,0.0000,1.2011,0.7884,-0.6865,1.1484,134
20,10,natr,2,14,long,0.0000,1.2011,0.7884,-0.6865,1.1484,134
14,20,realized,3,14,long,0.2500,1.1870,0.3954,-0.4067,0.9722,6748
20,20,realized,3,14,long,0.2500,1.1870,0.3954,-0.4067,0.9722,6748
10,20,realized,3,14,long,0.2500,1.1870,0.3954,-0.4067,0.9722,6748
14,40,natr,3,14,long,0.0000,1.1527,0.7444,-0.7145,1.0418,217
14,20,natr,3,14,long,0.0000,1.1527,0.7444,-0.7145,1.0418,217
14,10,natr,3,14,long,0.0000,1.1527,0.7444,-0.7145,1.0418,217
14,10,natr,3,14,long,0.1500,1.1387,0.2038,-0.2805,0.7266,6737
14,20,natr,3,14,long,0.1500,1.1387,0.2038,-0.2805,0.7266,6737
14,40,natr,3,14,long,0.1500,1.1387,0.2038,-0.2805,0.7266,6737
20,20,realized,2,14,long,0.1500,1.1259,0.2667,-0.2359,1.1306,4521
14,20,realized,2,14,long,0.1500,1.1259,0.2667,-0.2359,1.1306,4521
10,20,realized,2,14,long,0.1500,1.1259,0.2667,-0.2359,1.1306,4521
20,10,natr,2,3,long,0.1500,1.1233,0.2036,-0.2807,0.7253,4538
20,40,natr,2,3,long,0.1500,1.1233,0.2036,-0.2807,0.7253,4538
20,20,natr,2,3,long,0.1500,1.1233,0.2036,-0.2807,0.7253,4538
20,40,realized,3,14,long,0.0000,1.1223,0.7103,-0.7364,0.9645,173
10,40,realized,3,14,long,0.0000,1.1223,0.7103,-0.7364,0.9645,173
14,40,realized,3,14,long,0.0000,1.1223,0.7103,-0.7364,0.9645,173
14,10,natr,3,14,long,0.2500,1.1198,0.3279,-0.4335,0.7563,6734
14,40,natr,3,14,long,0.2500,1.1198,0.3279,-0.4335,0.7563,6734
14,20,natr,3,14,long,0.2500,1.1198,0.3279,-0.4335,0.7563,6734
14,20,realized,2,14,long,0.0000,1.1180,1.2019,-0.7090,1.6951,204
10,20,realized,2,14,long,0.0000,1.1180,1.2019,-0.7090,1.6951,204
20,20,realized,2,14,long,0.0000,1.1180,1.2019,-0.7090,1.6951,204
10,20,realized,2,14,long,0.2500,1.1108,0.4347,-0.3735,1.1638,4519
20,20,realized,2,14,long,0.2500,1.1108,0.4347,-0.3735,1.1638,4519
14,20,realized,2,14,long,0.2500,1.1108,0.4347,-0.3735,1.1638,4519
20,10,natr,2,3,long,0.2500,1.1084,0.3230,-0.4341,0.7441,4538
20,20,natr,2,3,long,0.2500,1.1084,0.3230,-0.4341,0.7441,4538
20,40,natr,2,3,long,0.2500,1.1084,0.3230,-0.4341,0.7441,4538
10,20,realized,3,3,long,0.1500,1.0930,0.2051,-0.2453,0.8361,6870
20,20,realized,3,3,long,0.1500,1.0930,0.2051,-0.2453,0.8361,6870
14,20,realized,3,3,long,0.1500,1.0930,0.2051,-0.2453,0.8361,6870
10,40,natr,2,14,long,0.1500,1.0869,0.2389,-0.3120,0.7658,4513
10,10,natr,2,14,long,0.1500,1.0869,0.2389,-0.3120,0.7658,4513
10,20,natr,2,14,long,0.1500,1.0869,0.2389,-0.3120,0.7658,4513
20,40,natr,2,7,long,0.1500,1.0848,0.1928,-0.3089,0.6240,4513
20,10,natr,2,7,long,0.1500,1.0848,0.1928,-0.3089,0.6240,4513
20,20,natr,2,7,long,0.1500,1.0848,0.1928,-0.3089,0.6240,4513
20,20,natr,2,3,long,0.0000,1.0779,0.6122,-0.7000,0.8746,242
20,40,natr,2,3,long,0.0000,1.0779,0.6122,-0.7000,0.8746,242
20,10,natr,2,3,long,0.0000,1.0779,0.6122,-0.7000,0.8746,242
20,20,natr,3,3,long,0.1500,1.0778,0.1927,-0.2635,0.7314,6788
20,10,natr,3,3,long,0.1500,1.0778,0.1927,-0.2635,0.7314,6788
20,40,natr,3,3,long,0.1500,1.0778,0.1927,-0.2635,0.7314,6788
20,40,natr,3,7,long,0.1500,1.0768,0.1899,-0.2705,0.7020,6748
20,10,natr,3,7,long,0.1500,1.0768,0.1899,-0.2705,0.7020,6748
20,20,natr,3,7,long,0.1500,1.0768,0.1899,-0.2705,0.7020,6748
20,20,realized,3,3,long,0.2500,1.0763,0.3252,-0.3831,0.8488,6870
14,20,realized,3,3,long,0.2500,1.0763,0.3252,-0.3831,0.8488,6870
10,20,realized,3,3,long,0.2500,1.0763,0.3252,-0.3831,0.8488,6870
10,20,natr,2,14,long,0.2500,1.0730,0.3880,-0.4742,0.8183,4513
10,40,natr,2,14,long,0.2500,1.0730,0.3880,-0.4742,0.8183,4513
10,10,natr,2,14,long,0.2500,1.0730,0.3880,-0.4742,0.8183,4513
20,20,natr,2,7,long,0.2500,1.0695,0.3099,-0.4709,0.6580,4513
20,10,natr,2,7,long,0.2500,1.0695,0.3099,-0.4709,0.6580,4513
20,40,natr,2,7,long,0.2500,1.0695,0.3099,-0.4709,0.6580,4513
20,40,realized,3,3,long,0.1500,1.0638,0.2024,-0.2595,0.7800,6702
10,40,realized,3,3,long,0.1500,1.0638,0.2024,-0.2595,0.7800,6702
14,40,realized,3,3,long,0.1500,1.0638,0.2024,-0.2595,0.7800,6702
10,10,natr,3,14,long,0.1500,1.0615,0.2014,-0.2801,0.7192,6750
10,40,natr,3,14,long,0.1500,1.0615,0.2014,-0.2801,0.7192,6750
10,20,natr,3,14,long,0.1500,1.0615,0.2014,-0.2801,0.7192,6750
14,10,natr,2,7,long,0.0000,1.0612,0.6037,-0.7416,0.8140,234
14,40,natr,2,7,long,0.0000,1.0612,0.6037,-0.7416,0.8140,234
14,20,natr,2,7,long,0.0000,1.0612,0.6037,-0.7416,0.8140,234
20,40,natr,3,3,long,0.2500,1.0611,0.3042,-0.4073,0.7468,6788
20,10,natr,3,3,long,0.2500,1.0611,0.3042,-0.4073,0.7468,6788
20,20,natr,3,3,long,0.2500,1.0611,0.3042,-0.4073,0.7468,6788
20,20,natr,1,14,long,0.0000,1.0578,0.6727,-0.7356,0.9145,83
20,10,natr,1,14,long,0.0000,1.0578,0.6727,-0.7356,0.9145,83
20,40,natr,1,14,long,0.0000,1.0578,0.6727,-0.7356,0.9145,83
20,20,natr,3,7,long,0.2500,1.0573,0.3026,-0.4201,0.7203,6745
20,40,natr,3,7,long,0.2500,1.0573,0.3026,-0.4201,0.7203,6745
20,10,natr,3,7,long,0.2500,1.0573,0.3026,-0.4201,0.7203,6745
10,40,realized,3,3,long,0.0000,1.0565,0.6166,-0.7337,0.8405,279
14,40,realized,3,3,long,0.0000,1.0565,0.6166,-0.7337,0.8405,279
20,40,realized,3,3,long,0.0000,1.0565,0.6166,-0.7337,0.8405,279
20,40,realized,3,3,long,0.2500,1.0474,0.3176,-0.4032,0.7877,6702
14,40,realized,3,3,long,0.2500,1.0474,0.3176,-0.4032,0.7877,6702
10,40,realized,3,3,long,0.2500,1.0474,0.3176,-0.4032,0.7877,6702
14,10,realized,2,14,long,0.1500,1.0436,0.2160,-0.2534,0.8522,4567
20,10,realized,2,14,long,0.1500,1.0436,0.2160,-0.2534,0.8522,4567
10,10,realized,2,14,long,0.1500,1.0436,0.2160,-0.2534,0.8522,4567
14,10,realized,3,14,long,0.1500,1.0434,0.2006,-0.2814,0.7129,6817
10,10,realized,3,14,long,0.1500,1.0434,0.2006,-0.2814,0.7129,6817
20,10,realized,3,14,long,0.1500,1.0434,0.2006,-0.2814,0.7129,6817
10,40,natr,3,14,long,0.2500,1.0425,0.3211,-0.4326,0.7421,6747
10,20,natr,3,14,long,0.2500,1.0425,0.3211,-0.4326,0.7421,6747
10,10,natr,3,14,long,0.2500,1.0425,0.3211,-0.4326,0.7421,6747
20,40,realized,3,7,long,0.0000,1.0341,0.6013,-0.7477,0.8042,209
10,40,realized,3,7,long,0.0000,1.0341,0.6013,-0.7477,0.8042,209
14,40,realized,3,7,long,0.0000,1.0341,0.6013,-0.7477,0.8042,209
20,10,realized,2,14,long,0.2500,1.0292,0.3462,-0.3975,0.8710,4567
14,10,realized,2,14,long,0.2500,1.0292,0.3462,-0.3975,0.8710,4567
10,10,realized,2,14,long,0.2500,1.0292,0.3462,-0.3975,0.8710,4567
10,40,realized,3,7,long,0.1500,1.0286,0.1952,-0.2848,0.6856,6667
20,40,realized,3,7,long,0.1500,1.0286,0.1952,-0.2848,0.6856,6667
14,40,realized,3,7,long,0.1500,1.0286,0.1952,-0.2848,0.6856,6667
20,10,natr,3,3,long,0.0000,1.0266,0.5884,-0.7085,0.8305,325
20,40,natr,3,3,long,0.0000,1.0266,0.5884,-0.7085,0.8305,325
20,20,natr,3,3,long,0.0000,1.0266,0.5884,-0.7085,0.8305,325
20,10,realized,3,14,long,0.2500,1.0244,0.3186,-0.4339,0.7344,6814
14,10,realized,3,14,long,0.2500,1.0244,0.3186,-0.4339,0.7344,6814
10,10,realized,3,14,long,0.2500,1.0244,0.3186,-0.4339,0.7344,6814
20,20,natr,1,14,long,0.1500,1.0241,0.1875,-0.2890,0.6488,2251
