k,ma_filter,ma_exit,avg_sharpe,med_sharpe,min_sharpe,avg_cagr,avg_mdd,ew_sharpe,ew_mdd
0.6000,50,5,0.9110,0.8317,0.6448,0.9202,-0.5406,2.0288,-0.2250
0.8000,50,5,0.8842,0.8796,0.6014,0.9020,-0.4815,2.0180,-0.2019
0.7000,50,5,0.9008,0.8740,0.5958,0.9191,-0.5224,2.0104,-0.2064
0.7000,30,5,0.8798,0.8427,0.5785,0.7469,-0.4654,1.9834,-0.2883
0.8000,60,5,0.8583,0.8501,0.5974,0.8573,-0.4797,1.9789,-0.2069
0.8000,30,5,0.8608,0.8043,0.5893,0.7299,-0.4498,1.9743,-0.2768
0.5000,50,5,0.8728,0.8309,0.5822,0.8984,-0.5540,1.9706,-0.2696
0.6000,50,3,0.9586,0.8619,0.7403,0.8118,-0.5866,1.9692,-0.3514
0.6000,60,5,0.8674,0.8152,0.6401,0.8279,-0.5538,1.9538,-0.2984
0.7000,60,5,0.8613,0.8444,0.5910,0.8312,-0.5273,1.9421,-0.2608
0.7000,50,3,0.9387,0.8945,0.6338,0.8130,-0.5560,1.9362,-0.3104
0.8000,50,3,0.9248,0.8478,0.6606,0.7878,-0.5134,1.9273,-0.2655
0.6000,30,5,0.8542,0.7928,0.5884,0.6791,-0.4869,1.9084,-0.2957
0.7000,30,3,0.9012,0.8357,0.4973,0.6756,-0.5077,1.9033,-0.3340
0.8000,60,3,0.9038,0.7948,0.6569,0.7503,-0.4877,1.8957,-0.2609
0.6000,60,3,0.9208,0.8537,0.7327,0.7442,-0.5889,1.8946,-0.3173
0.4000,50,5,0.8554,0.8134,0.5391,0.8152,-0.6237,1.8870,-0.3408
0.8000,30,3,0.8829,0.8443,0.6458,0.6478,-0.4788,1.8839,-0.3191
0.8000,50,10,0.8104,0.7967,0.5409,1.0286,-0.4166,1.8836,-0.2014
0.5000,60,5,0.8256,0.8200,0.5788,0.7863,-0.5629,1.8813,-0.3480
0.7000,60,3,0.9074,0.8704,0.6343,0.7419,-0.5469,1.8727,-0.2760
0.7000,50,10,0.8105,0.7627,0.5784,1.0479,-0.4369,1.8658,-0.2194
0.6000,50,10,0.8279,0.8344,0.5516,1.0497,-0.4598,1.8617,-0.2369
0.5000,50,3,0.8855,0.8728,0.5733,0.7588,-0.5971,1.8610,-0.3708
0.8000,60,10,0.7889,0.7561,0.5447,0.9747,-0.4116,1.8513,-0.2553
