k,ma_filter,ma_exit,avg_sharpe,med_sharpe,min_sharpe,avg_cagr,avg_mdd,ew_sharpe,ew_mdd
0.6000,60,3,1.0620,0.9529,0.7444,0.8383,-0.4623,1.7328,-0.2192
0.8000,60,3,1.0648,0.9445,0.7838,0.7979,-0.4232,1.7031,-0.1922
0.5000,10,3,1.1294,1.0144,0.8279,1.0630,-0.4094,1.7028,-0.2001
0.6000,50,3,1.1000,1.0277,0.8277,0.8796,-0.4450,1.6975,-0.2075
0.8000,50,5,1.0096,0.9107,0.7477,0.8182,-0.3888,1.6948,-0.1698
0.8000,50,3,1.1047,0.9833,0.8468,0.8362,-0.4188,1.6920,-0.1571
0.8000,80,3,1.0442,1.0445,0.6697,0.7056,-0.4043,1.6834,-0.1692
0.6000,80,3,1.0282,0.9651,0.6862,0.7243,-0.4305,1.6778,-0.2020
0.5000,60,3,1.0251,0.9718,0.7009,0.7859,-0.4873,1.6746,-0.2464
0.6000,50,5,0.9849,0.9315,0.8131,0.8268,-0.4216,1.6733,-0.2075
0.5000,80,3,1.0169,0.9997,0.7211,0.7215,-0.4568,1.6731,-0.2245
0.5000,50,3,1.0665,1.0369,0.7729,0.8479,-0.4618,1.6609,-0.2320
0.7000,50,3,1.0942,0.9993,0.8513,0.8465,-0.4447,1.6608,-0.1717
0.7000,60,3,1.0473,0.9481,0.7782,0.7960,-0.4650,1.6604,-0.1913
0.7000,10,3,1.1252,0.9843,0.8376,0.9736,-0.3975,1.6548,-0.1794
0.6000,60,5,0.9411,0.8785,0.7156,0.7623,-0.4507,1.6502,-0.2180
0.6000,30,3,1.1377,0.9932,0.7739,1.0299,-0.3511,1.6487,-0.2052
0.8000,70,3,1.0402,0.9557,0.6920,0.7187,-0.4294,1.6458,-0.1912
0.7000,80,3,1.0271,0.9864,0.6971,0.7070,-0.4070,1.6451,-0.1624
0.8000,10,3,1.1230,1.0689,0.7964,0.9423,-0.4087,1.6427,-0.1728
0.8000,60,5,0.9620,0.9059,0.7461,0.7468,-0.4096,1.6417,-0.2044
0.5000,20,3,1.1443,1.0305,0.7579,1.0331,-0.3873,1.6385,-0.2005
0.5000,50,5,0.9552,0.8813,0.7691,0.8008,-0.4642,1.6382,-0.2276
0.8000,30,3,1.1230,0.9961,0.7895,0.9507,-0.3712,1.6356,-0.1998
0.6000,70,3,1.0126,0.9279,0.6421,0.7306,-0.4776,1.6351,-0.2206
0.8000,30,5,1.0029,0.8953,0.7326,0.9338,-0.3602,1.6325,-0.2240
0.7000,50,5,0.9837,0.9020,0.7710,0.7984,-0.4190,1.6295,-0.1731
0.6000,30,5,1.0102,0.8975,0.7735,0.9922,-0.3541,1.6275,-0.2320
0.5000,20,5,1.0265,0.9485,0.7192,0.9973,-0.4011,1.6206,-0.2279
0.6000,10,3,1.1225,0.9834,0.8281,1.0266,-0.4168,1.6191,-0.2037
0.5000,30,3,1.1236,1.0419,0.7477,1.0043,-0.3645,1.6171,-0.2277
0.6000,20,3,1.1266,1.0180,0.7453,0.9921,-0.4046,1.6135,-0.2165
0.6000,20,5,1.0164,0.9358,0.7346,0.9737,-0.4050,1.6120,-0.1907
0.5000,60,5,0.9229,0.8417,0.7409,0.7346,-0.4602,1.6105,-0.2409
0.4000,10,3,1.0732,0.9418,0.8187,0.9841,-0.4409,1.5876,-0.2133
0.7000,30,3,1.1130,0.9676,0.7861,0.9600,-0.3708,1.5828,-0.2305
0.5000,30,5,0.9991,0.9005,0.7410,0.9671,-0.3841,1.5810,-0.2736
0.5000,70,3,0.9894,0.8985,0.6783,0.7066,-0.5045,1.5804,-0.2588
0.5000,10,5,0.9951,0.8997,0.7911,0.9894,-0.4314,1.5794,-0.1978
0.7000,60,5,0.9337,0.8672,0.7650,0.7264,-0.4436,1.5731,-0.1986
0.7000,20,3,1.0945,0.9484,0.7767,0.8900,-0.3915,1.5709,-0.1866
0.8000,70,5,0.9310,0.8695,0.7165,0.6574,-0.3950,1.5708,-0.2099
0.7000,30,5,0.9897,0.8854,0.7612,0.9282,-0.3706,1.5703,-0.2629
0.7000,70,3,1.0089,0.9176,0.6868,0.7094,-0.4664,1.5628,-0.2159
0.4000,20,5,1.0019,0.9316,0.6985,0.9655,-0.4017,1.5611,-0.2455
0.8000,80,5,0.9345,0.8637,0.6812,0.6294,-0.3645,1.5604,-0.1958
0.7000,20,5,0.9885,0.9055,0.7035,0.8759,-0.3977,1.5589,-0.2132
0.8000,20,5,0.9766,0.8504,0.6703,0.8465,-0.4107,1.5559,-0.2005
0.4000,60,3,0.9825,0.9502,0.6777,0.7148,-0.5425,1.5555,-0.2719
0.8000,20,3,1.0748,0.9156,0.7495,0.8499,-0.4017,1.5550,-0.1827
0.4000,80,3,0.9665,0.9169,0.7026,0.6520,-0.5057,1.5531,-0.2560
0.6000,80,5,0.9170,0.8689,0.6479,0.6418,-0.4149,1.5491,-0.2093
0.6000,70,5,0.8867,0.8192,0.6159,0.6478,-0.4449,1.5329,-0.2310
0.4000,50,3,1.0239,1.0036,0.7306,0.7899,-0.4911,1.5300,-0.2652
0.4000,30,5,0.9812,0.8694,0.7130,0.9419,-0.4142,1.5294,-0.3375
0.5000,80,5,0.9111,0.8635,0.6878,0.6373,-0.4467,1.5292,-0.2315
0.7000,10,5,0.9855,0.8604,0.7310,0.9204,-0.4094,1.5286,-0.1997
0.4000,50,5,0.9366,0.8667,0.7084,0.7608,-0.4979,1.5228,-0.2506
0.4000,60,5,0.9038,0.7974,0.6956,0.6822,-0.4974,1.5202,-0.2637
0.6000,10,5,0.9866,0.9016,0.7460,0.9654,-0.4213,1.5197,-0.1851
0.8000,10,5,0.9901,0.9233,0.6758,0.9011,-0.4184,1.5159,-0.1906
0.4000,30,3,1.0751,0.9358,0.7261,0.9472,-0.4196,1.5153,-0.3081
0.4000,10,5,0.9746,0.8829,0.7600,0.9432,-0.4501,1.5141,-0.2185
0.4000,20,3,1.0733,0.9935,0.7550,0.9545,-0.4092,1.5096,-0.2204
0.5000,70,5,0.8765,0.8110,0.6472,0.6358,-0.4745,1.5015,-0.2548
0.7000,80,5,0.9112,0.8344,0.6907,0.6196,-0.3922,1.4981,-0.1986
0.3000,10,5,0.9602,0.8674,0.7317,0.9245,-0.4859,1.4713,-0.2420
0.4000,70,3,0.9432,0.8762,0.6590,0.6340,-0.5486,1.4684,-0.2921
0.7000,70,5,0.8863,0.7810,0.6927,0.6293,-0.4482,1.4583,-0.2081
0.4000,80,5,0.8897,0.8263,0.6539,0.5951,-0.4782,1.4534,-0.2563
0.3000,30,5,0.9383,0.8791,0.6324,0.8821,-0.4689,1.4532,-0.3319
0.3000,20,5,0.9519,0.9276,0.6408,0.9057,-0.4319,1.4420,-0.2642
0.3000,10,3,1.0213,0.9306,0.7570,0.9087,-0.5075,1.4399,-0.2536
0.4000,70,5,0.8584,0.7501,0.6134,0.5905,-0.5051,1.4175,-0.2839
0.3000,50,5,0.8846,0.8537,0.6078,0.7137,-0.5392,1.4087,-0.2623
0.3000,60,5,0.8575,0.7956,0.5771,0.6392,-0.5558,1.3869,-0.2844
0.3000,30,3,0.9969,0.9026,0.6686,0.8313,-0.4696,1.3663,-0.3194
0.3000,80,3,0.8925,0.8544,0.5305,0.5623,-0.5556,1.3614,-0.2873
0.3000,70,5,0.8362,0.7660,0.5207,0.5747,-0.5356,1.3511,-0.2950
0.3000,60,3,0.8967,0.7948,0.5029,0.6134,-0.5960,1.3465,-0.3068
0.3000,80,5,0.8599,0.8466,0.5388,0.5724,-0.5174,1.3426,-0.2829
0.3000,50,3,0.9435,0.8520,0.5955,0.6941,-0.5519,1.3383,-0.2943
0.3000,20,3,0.9875,0.9609,0.6888,0.8267,-0.4636,1.3135,-0.2601
0.3000,70,3,0.8714,0.7595,0.4936,0.5453,-0.5854,1.2936,-0.3241
0.6000,50,10,0.9238,0.8919,0.6034,0.9610,-0.3746,1.2579,-0.2042
0.7000,50,10,0.9226,0.8724,0.5945,0.9303,-0.3729,1.2469,-0.1820
0.6000,60,10,0.8943,0.9004,0.5990,0.8890,-0.3976,1.2308,-0.2376
0.8000,50,10,0.9208,0.8951,0.5831,0.9104,-0.3526,1.2283,-0.1747
0.5000,50,10,0.8915,0.8961,0.6007,0.9152,-0.4325,1.2125,-0.2226
0.6000,30,10,0.9340,0.8805,0.5787,1.0889,-0.3859,1.2074,-0.1923
0.6000,20,10,0.9258,0.9192,0.5590,1.0330,-0.3991,1.1994,-0.2214
0.8000,60,10,0.8842,0.8915,0.5809,0.8282,-0.3921,1.1983,-0.2189
0.7000,60,10,0.8856,0.8764,0.5909,0.8479,-0.4061,1.1976,-0.2173
0.5000,20,10,0.9310,0.9316,0.5515,1.0398,-0.4063,1.1899,-0.1989
0.5000,60,10,0.8729,0.8611,0.5902,0.8383,-0.4458,1.1850,-0.2464
0.7000,20,10,0.8963,0.8567,0.5503,0.9301,-0.4164,1.1803,-0.1875
0.7000,30,10,0.9065,0.8425,0.5775,1.0164,-0.4080,1.1755,-0.2103
0.8000,30,10,0.8998,0.8696,0.5619,0.9875,-0.3757,1.1698,-0.1770
0.8000,20,10,0.8882,0.8569,0.5347,0.8959,-0.3968,1.1642,-0.1768
0.4000,50,10,0.8802,0.8491,0.5703,0.8676,-0.4653,1.1635,-0.2480
0.5000,30,10,0.9148,0.8438,0.5658,1.0367,-0.4071,1.1605,-0.2279
0.4000,30,10,0.9004,0.8379,0.5493,1.0066,-0.4286,1.1495,-0.2980
0.4000,20,10,0.9057,0.9183,0.5348,0.9931,-0.4288,1.1489,-0.2212
0.4000,60,10,0.8669,0.8010,0.5508,0.7834,-0.4781,1.1411,-0.2771
0.8000,70,10,0.8522,0.8239,0.5772,0.7349,-0.3877,1.1369,-0.2209
0.6000,70,10,0.8475,0.8442,0.5916,0.7669,-0.4324,1.1354,-0.2429
0.6000,10,10,0.9057,0.8439,0.5808,1.0198,-0.4600,1.1307,-0.2641
0.5000,10,10,0.9057,0.8702,0.5801,1.0242,-0.4477,1.1281,-0.2597
0.3000,30,10,0.8574,0.8658,0.5559,0.9457,-0.4692,1.1259,-0.3063
0.7000,10,10,0.8896,0.8282,0.5788,0.9581,-0.4765,1.1248,-0.2665
0.8000,10,10,0.9011,0.8636,0.5657,0.9575,-0.4521,1.1208,-0.2638
0.3000,50,10,0.8316,0.8470,0.5714,0.8101,-0.5089,1.1181,-0.2565
0.6000,80,10,0.8814,0.8715,0.6903,0.7485,-0.3903,1.1154,-0.2284
0.4000,10,10,0.8876,0.8316,0.5651,0.9794,-0.4547,1.1132,-0.2484
0.3000,10,10,0.8845,0.8089,0.5634,0.9837,-0.4740,1.1083,-0.2699
0.8000,80,10,0.8673,0.8074,0.6725,0.7009,-0.3561,1.1039,-0.2105
0.5000,70,10,0.8356,0.8156,0.5840,0.7379,-0.4560,1.1022,-0.2814
