mom_lb,vol_s,vol_l,top_n,rebal,mom_w,dir,vol_tgt,Sharpe,CAGR,MDD,Calmar,Trades
20,5,20,3,7,0.3000,long,0.0000,1.5677,1.5322,-0.7553,2.0285,810
5,5,40,3,7,0.3000,long,0.0000,1.5424,1.4936,-0.6477,2.3062,965
5,5,20,3,7,0.3000,long,0.0000,1.5386,1.4755,-0.6412,2.3010,979
5,10,40,3,7,0.7000,long,0.0000,1.5351,1.4812,-0.6024,2.4591,975
5,10,40,3,7,0.5000,long,0.0000,1.5224,1.4750,-0.6480,2.2764,943
5,5,40,3,7,0.5000,long,0.0000,1.5203,1.4669,-0.6434,2.2799,971
20,5,20,3,14,0.3000,long,0.0000,1.5051,1.3956,-0.8327,1.6760,501
5,10,20,3,7,0.7000,long,0.0000,1.5050,1.4483,-0.6039,2.3982,983
5,5,40,3,14,0.3000,long,0.0000,1.4980,1.3467,-0.7660,1.7583,482
5,10,40,3,7,0.3000,long,0.0000,1.4980,1.3989,-0.6855,2.0407,915
5,10,40,2,7,0.7000,long,0.0000,1.4812,1.4882,-0.5961,2.4965,706
5,5,20,3,14,0.3000,long,0.0000,1.4799,1.3255,-0.7587,1.7470,530
5,5,40,1,3,0.7000,long,0.0000,1.4740,2.0171,-0.8266,2.4400,796
5,10,40,2,14,0.3000,long,0.0000,1.4694,1.3371,-0.7767,1.7215,364
5,3,20,2,7,0.3000,long,0.0000,1.4692,1.4730,-0.6326,2.3284,751
5,3,40,3,14,0.3000,long,0.0000,1.4690,1.2727,-0.7572,1.6809,469
5,3,20,3,7,0.7000,long,0.0000,1.4644,1.3568,-0.6349,2.1371,997
20,3,20,3,7,0.7000,long,0.0000,1.4622,1.3388,-0.8160,1.6407,671
5,5,20,2,7,0.3000,long,0.0000,1.4586,1.4181,-0.6312,2.2465,748
5,3,40,1,3,0.7000,long,0.0000,1.4569,1.9589,-0.8026,2.4406,796
5,3,40,3,7,0.3000,long,0.0000,1.4484,1.3139,-0.6631,1.9815,973
5,3,20,3,7,0.3000,long,0.0000,1.4464,1.3092,-0.6309,2.0753,987
5,3,20,2,7,0.5000,long,0.0000,1.4444,1.4377,-0.6119,2.3497,753
20,5,20,3,7,0.5000,long,0.0000,1.4425,1.2687,-0.7653,1.6578,749
5,3,40,3,7,0.5000,long,0.0000,1.4380,1.3106,-0.6575,1.9932,976
20,3,20,3,7,0.5000,long,0.0000,1.4330,1.2649,-0.7863,1.6087,743
5,5,20,3,7,0.3000,long,0.2500,1.4322,0.5222,-0.3151,1.6575,5083
5,10,40,2,7,0.5000,long,0.0000,1.4306,1.3561,-0.6445,2.1040,705
5,5,40,1,3,0.7000,long,0.2500,1.4292,0.5712,-0.3473,1.6446,2201
20,5,40,2,7,0.3000,long,0.0000,1.4270,1.4241,-0.7735,1.8410,537
20,5,20,2,7,0.3000,long,0.0000,1.4268,1.4170,-0.8042,1.7621,620
5,5,40,2,7,0.5000,long,0.0000,1.4255,1.3563,-0.6050,2.2419,706
5,5,20,1,3,0.7000,long,0.0000,1.4203,1.8260,-0.8387,2.1771,804
5,3,40,2,7,0.3000,long,0.0000,1.4201,1.3773,-0.6517,2.1135,724
5,3,40,2,7,0.7000,long,0.0000,1.4200,1.3147,-0.6472,2.0314,721
5,5,40,3,7,0.7000,long,0.0000,1.4197,1.2792,-0.6811,1.8780,981
20,5,40,3,7,0.3000,long,0.0000,1.4182,1.2647,-0.7367,1.7167,727
5,5,40,2,7,0.3000,long,0.0000,1.4174,1.3795,-0.6200,2.2250,706
5,3,20,3,7,0.3000,long,0.2500,1.4157,0.5090,-0.3398,1.4981,5090
5,3,40,3,7,0.7000,long,0.0000,1.4148,1.2672,-0.6756,1.8758,982
5,5,40,2,7,0.7000,long,0.0000,1.4139,1.3280,-0.6079,2.1844,711
5,5,20,2,14,0.3000,long,0.0000,1.4138,1.2927,-0.7845,1.6479,400
5,5,40,3,7,0.3000,long,0.2500,1.4129,0.5111,-0.3511,1.4556,5078
5,10,40,1,3,0.7000,long,0.2500,1.4123,0.5607,-0.3201,1.7515,2201
5,5,20,3,7,0.7000,long,0.0000,1.4110,1.2464,-0.6007,2.0750,1006
5,10,40,3,3,0.5000,long,0.0000,1.4106,1.2589,-0.8289,1.5188,1775
5,10,20,3,7,0.5000,long,0.0000,1.4076,1.2552,-0.6491,1.9339,961
5,5,40,3,14,0.5000,long,0.0000,1.4057,1.2040,-0.7760,1.5515,485
5,5,20,3,7,0.5000,long,0.0000,1.4036,1.2106,-0.6583,1.8389,993
20,3,20,3,7,0.3000,long,0.0000,1.3984,1.2372,-0.8036,1.5396,800
5,3,40,2,7,0.5000,long,0.0000,1.3984,1.2633,-0.6232,2.0270,719
5,3,20,2,7,0.5000,long,0.2500,1.3873,0.5064,-0.3551,1.4261,3626
5,3,40,1,3,0.7000,long,0.2500,1.3862,0.5487,-0.3434,1.5976,2201
5,10,40,3,14,0.3000,long,0.0000,1.3849,1.1332,-0.7793,1.4542,494
5,10,40,2,7,0.3000,long,0.0000,1.3840,1.2602,-0.6382,1.9747,665
5,3,20,1,3,0.3000,long,0.0000,1.3835,1.6979,-0.8377,2.0269,834
20,3,40,3,7,0.5000,long,0.0000,1.3830,1.2097,-0.7770,1.5570,684
5,3,20,2,14,0.3000,long,0.0000,1.3797,1.2029,-0.7765,1.5491,392
5,10,20,3,14,0.5000,long,0.0000,1.3787,1.1487,-0.7675,1.4967,523
5,3,20,2,7,0.3000,long,0.2500,1.3763,0.4846,-0.3611,1.3419,3623
5,5,20,1,3,0.7000,long,0.2500,1.3760,0.5586,-0.3357,1.6639,2205
5,3,20,3,7,0.5000,long,0.0000,1.3740,1.1683,-0.6369,1.8345,991
5,10,40,1,3,0.7000,long,0.0000,1.3692,1.6660,-0.8125,2.0505,796
20,3,40,3,7,0.3000,long,0.0000,1.3676,1.1851,-0.7959,1.4890,732
5,10,40,1,3,0.3000,long,0.2500,1.3656,0.5141,-0.3155,1.6294,2164
20,5,40,3,7,0.5000,long,0.0000,1.3641,1.1617,-0.7650,1.5186,689
5,3,20,1,3,0.7000,long,0.0000,1.3630,1.6389,-0.8329,1.9678,798
5,3,20,2,7,0.7000,long,0.0000,1.3626,1.2211,-0.6190,1.9727,726
20,5,20,3,7,0.3000,long,0.2500,1.3567,0.5558,-0.3857,1.4410,5080
20,5,20,3,7,0.7000,long,0.0000,1.3562,1.1336,-0.7912,1.4327,662
20,3,40,3,14,0.3000,long,0.0000,1.3558,1.1206,-0.7890,1.4203,469
5,5,20,2,7,0.5000,long,0.0000,1.3511,1.2045,-0.6040,1.9943,735
5,5,20,2,7,0.7000,long,0.0000,1.3505,1.1882,-0.6348,1.8718,722
20,3,20,3,14,0.3000,long,0.0000,1.3493,1.1038,-0.8171,1.3508,498
5,3,40,2,14,0.3000,long,0.0000,1.3485,1.1181,-0.7464,1.4980,356
20,5,20,2,3,0.3000,long,0.0000,1.3471,1.2644,-0.8623,1.4663,984
5,5,40,1,3,0.3000,long,0.0000,1.3457,1.5783,-0.8626,1.8296,754
5,3,20,1,3,0.5000,long,0.0000,1.3448,1.5821,-0.8448,1.8726,832
5,3,20,1,3,0.3000,long,0.2500,1.3421,0.5146,-0.2982,1.7259,2220
5,10,40,3,7,0.3000,long,0.2500,1.3406,0.4783,-0.3571,1.3395,5049
5,5,20,1,3,0.5000,long,0.0000,1.3382,1.5647,-0.8314,1.8819,800
20,3,20,3,7,0.7000,long,0.2500,1.3371,0.5332,-0.3873,1.3767,5008
5,10,20,3,7,0.3000,long,0.0000,1.3366,1.1021,-0.6439,1.7116,941
5,5,40,3,7,0.5000,long,0.2500,1.3340,0.4705,-0.3226,1.4584,5081
5,10,40,3,14,0.5000,long,0.0000,1.3339,1.0708,-0.7501,1.4275,483
5,10,20,3,7,0.3000,long,0.2500,1.3319,0.4734,-0.3240,1.4610,5062
5,10,40,3,14,0.7000,long,0.0000,1.3298,1.0665,-0.7749,1.3763,501
5,3,20,3,7,0.7000,long,0.2500,1.3295,0.4687,-0.3311,1.4154,5096
10,5,20,2,3,0.3000,long,0.0000,1.3281,1.1997,-0.7459,1.6084,1118
10,3,40,3,3,0.3000,long,0.0000,1.3268,1.1118,-0.8093,1.3738,1533
5,10,40,2,7,0.5000,long,0.2500,1.3267,0.4839,-0.3274,1.4780,3600
5,10,20,2,7,0.7000,long,0.0000,1.3266,1.1743,-0.6368,1.8441,711
5,10,20,2,14,0.3000,long,0.0000,1.3264,1.1339,-0.8285,1.3685,395
10,5,20,3,7,0.3000,long,0.0000,1.3260,1.1302,-0.8323,1.3579,925
20,10,20,3,14,0.3000,long,0.0000,1.3256,1.0800,-0.8179,1.3204,508
20,3,20,2,14,0.5000,long,0.0000,1.3248,1.1321,-0.7641,1.4817,358
10,3,40,3,3,0.5000,long,0.0000,1.3244,1.1179,-0.7840,1.4258,1453
5,3,20,3,7,0.5000,long,0.2500,1.3236,0.4639,-0.3567,1.3006,5092
10,3,20,2,3,0.3000,long,0.0000,1.3229,1.1948,-0.8189,1.4591,1235
5,10,20,3,7,0.7000,long,0.2500,1.3221,0.4663,-0.3304,1.4116,5088
10,10,40,2,3,0.7000,long,0.0000,1.3216,1.2086,-0.7786,1.5523,1022
5,3,20,1,3,0.7000,long,0.2500,1.3188,0.5061,-0.3219,1.5723,2202
20,3,40,2,7,0.3000,long,0.0000,1.3181,1.1725,-0.8268,1.4182,558
5,3,40,2,14,0.5000,long,0.0000,1.3177,1.0750,-0.7383,1.4561,382
5,5,40,1,7,0.3000,long,0.2500,1.3176,0.4746,-0.3550,1.3370,1947
20,3,20,3,14,0.7000,long,0.0000,1.3168,1.0483,-0.8053,1.3017,451
20,3,20,3,7,0.5000,long,0.2500,1.3164,0.5155,-0.4013,1.2845,5046
5,10,40,3,7,0.7000,long,0.2500,1.3138,0.4595,-0.3290,1.3967,5082
5,5,40,1,3,0.5000,long,0.0000,1.3138,1.4887,-0.8339,1.7853,780
5,3,40,3,7,0.3000,long,0.2500,1.3129,0.4584,-0.3553,1.2903,5083
