k,ma_filter,ma_exit,avg_sharpe,med_sharpe,min_sharpe,avg_cagr,avg_mdd,ew_sharpe,ew_mdd
0.6000,60.0000,3.0000,1.0192,0.9074,0.7096,0.7790,-0.4801,1.6232,-0.2308
0.8000,50.0000,5.0000,0.9830,0.8957,0.7342,0.7788,-0.3992,1.6205,-0.1791
0.8000,60.0000,3.0000,1.0284,0.9197,0.7545,0.7506,-0.4395,1.6103,-0.2033
0.8000,50.0000,3.0000,1.0701,0.9430,0.8201,0.7894,-0.4343,1.6035,-0.1680
0.6000,50.0000,3.0000,1.0593,0.9810,0.7959,0.8211,-0.4610,1.5933,-0.2176
0.8000,80.0000,3.0000,1.0053,1.0193,0.6382,0.6606,-0.4221,1.5899,-0.1793
0.6000,50.0000,5.0000,0.9533,0.8897,0.7977,0.7778,-0.4326,1.5844,-0.2165
0.5000,10.0000,3.0000,1.0850,0.9723,0.8087,0.9870,-0.4266,1.5813,-0.2121
0.6000,80.0000,3.0000,0.9819,0.9341,0.6475,0.6680,-0.4508,1.5654,-0.2128
0.7000,50.0000,3.0000,1.0562,0.9557,0.8219,0.7941,-0.4600,1.5641,-0.1782
0.8000,60.0000,5.0000,0.9333,0.8910,0.7326,0.7074,-0.4216,1.5625,-0.2140
0.7000,60.0000,3.0000,1.0072,0.9032,0.7457,0.7431,-0.4833,1.5581,-0.2037
0.8000,30.0000,5.0000,0.9771,0.8586,0.7187,0.8905,-0.3717,1.5580,-0.2294
0.5000,60.0000,3.0000,0.9792,0.9208,0.6643,0.7227,-0.5086,1.5579,-0.2610
0.6000,60.0000,5.0000,0.9070,0.8596,0.6842,0.7127,-0.4645,1.5549,-0.2298
0.5000,80.0000,3.0000,0.9675,0.9476,0.6804,0.6602,-0.4768,1.5540,-0.2361
0.8000,70.0000,3.0000,1.0027,0.9300,0.6626,0.6734,-0.4484,1.5534,-0.2017
0.5000,50.0000,3.0000,1.0227,0.9878,0.7393,0.7847,-0.4822,1.5499,-0.2463
0.7000,10.0000,3.0000,1.0864,0.9289,0.8120,0.9129,-0.4104,1.5484,-0.1898
0.7000,50.0000,5.0000,0.9543,0.8659,0.7565,0.7546,-0.4322,1.5475,-0.1832
0.8000,30.0000,3.0000,1.0882,0.9644,0.7753,0.8993,-0.3885,1.5469,-0.2058
0.8000,10.0000,3.0000,1.0873,1.0201,0.7725,0.8884,-0.4220,1.5446,-0.1828
0.6000,30.0000,3.0000,1.0981,0.9495,0.7573,0.9653,-0.3716,1.5445,-0.2125
0.5000,50.0000,5.0000,0.9206,0.8612,0.7390,0.7472,-0.4764,1.5426,-0.2385
0.7000,80.0000,3.0000,0.9843,0.9576,0.6626,0.6566,-0.4268,1.5422,-0.1724
0.6000,30.0000,5.0000,0.9805,0.8825,0.7590,0.9379,-0.3674,1.5387,-0.2462
0.5000,20.0000,3.0000,1.1021,1.0083,0.7398,0.9623,-0.4051,1.5271,-0.2115
0.6000,70.0000,3.0000,0.9681,0.9042,0.6061,0.6743,-0.4982,1.5246,-0.2304
0.5000,20.0000,5.0000,0.9938,0.9325,0.7004,0.9372,-0.4166,1.5245,-0.2367
0.6000,20.0000,5.0000,0.9858,0.8939,0.7177,0.9194,-0.4192,1.5218,-0.1983
0.5000,60.0000,5.0000,0.8859,0.8211,0.7073,0.6806,-0.4774,1.5085,-0.2535
0.6000,20.0000,3.0000,1.0867,0.9973,0.7282,0.9278,-0.4262,1.5080,-0.2262
0.5000,30.0000,3.0000,1.0814,0.9805,0.7298,0.9344,-0.3766,1.5062,-0.2422
0.6000,10.0000,3.0000,1.0814,0.9621,0.8100,0.9585,-0.4299,1.5040,-0.2155
0.8000,70.0000,5.0000,0.9009,0.8323,0.6908,0.6196,-0.4104,1.4917,-0.2191
0.7000,30.0000,5.0000,0.9616,0.8713,0.7465,0.8801,-0.3819,1.4882,-0.2756
0.7000,30.0000,3.0000,1.0751,0.9482,0.7705,0.9028,-0.3908,1.4862,-0.2445
0.5000,30.0000,5.0000,0.9669,0.8569,0.7253,0.9077,-0.3963,1.4855,-0.2893
0.7000,60.0000,5.0000,0.9021,0.8497,0.7503,0.6824,-0.4612,1.4850,-0.2090
0.8000,80.0000,5.0000,0.9027,0.8265,0.6533,0.5921,-0.3803,1.4805,-0.2047
0.8000,20.0000,5.0000,0.9498,0.8181,0.6555,0.8041,-0.4238,1.4784,-0.2072
0.5000,10.0000,5.0000,0.9609,0.8829,0.7725,0.9255,-0.4445,1.4754,-0.2077
0.7000,20.0000,5.0000,0.9596,0.8649,0.6876,0.8283,-0.4112,1.4747,-0.2206
0.7000,20.0000,3.0000,1.0567,0.9016,0.7609,0.8340,-0.4075,1.4725,-0.1945
0.8000,20.0000,3.0000,1.0398,0.8908,0.7269,0.8003,-0.4157,1.4639,-0.1978
0.5000,70.0000,3.0000,0.9417,0.8661,0.6402,0.6457,-0.5258,1.4625,-0.2729
0.7000,70.0000,3.0000,0.9674,0.8956,0.6543,0.6588,-0.4854,1.4604,-0.2223
0.4000,20.0000,5.0000,0.9660,0.9131,0.6782,0.8990,-0.4183,1.4578,-0.2566
0.4000,10.0000,3.0000,1.0255,0.9158,0.7976,0.9026,-0.4551,1.4568,-0.2266
