noise_ratio,btc_ma,ma_short,sortino,sharpe,cagr_pct,mdd_pct,win_rate,num_trades
0.6000,20,3,5.1734,2.5162,117.4668,17.7784,43.2971,552
0.6000,30,3,5.1623,2.5406,121.2065,17.8878,44.2413,547
0.3000,10,3,5.1225,2.4588,128.2259,23.4582,35.8491,848
0.5000,30,3,5.0847,2.4951,121.9503,18.5340,41.6399,622
0.4000,20,3,5.0697,2.4639,122.4207,19.6872,39.0821,719
0.4000,30,3,5.0458,2.4732,125.1782,23.8680,39.3007,715
0.5000,20,3,5.0428,2.4560,117.1201,17.5994,41.2800,625
0.6000,10,3,5.0088,2.4002,110.9028,25.6634,41.4931,576
0.4000,10,3,4.9815,2.3979,118.6790,26.4145,38.4615,741
0.3000,20,3,4.9201,2.4090,123.4426,20.0692,35.3702,851
0.3000,30,3,4.9085,2.4250,126.8487,24.9192,35.9857,842
0.7000,10,3,4.9027,2.3720,105.1050,26.1197,43.6893,515
0.7000,20,3,4.8790,2.4036,106.3166,16.9588,44.4223,502
0.5000,10,3,4.8730,2.3633,112.2419,22.8317,39.4127,647
0.8000,20,3,4.7510,2.3668,100.3222,17.6822,47.0199,453
0.8000,10,3,4.7484,2.3309,97.9688,23.8637,46.2527,467
0.8000,30,3,4.7432,2.3764,101.2877,16.7121,48.2222,450
0.7000,30,3,4.7320,2.3664,104.5746,17.0070,45.3094,501
0.6000,50,3,4.7219,2.3565,103.9163,25.0582,42.3729,531
0.7000,50,3,4.6473,2.3194,98.0184,23.4060,45.0526,475
0.8000,50,3,4.5953,2.3010,92.9885,20.8825,47.5294,425
0.6000,60,3,4.5085,2.2685,97.9799,23.8524,41.2297,553
0.6000,70,3,4.5070,2.2226,93.7402,20.1845,40.2154,557
0.7000,70,3,4.4699,2.1965,89.1680,25.1046,43.0894,492
0.4000,50,3,4.4670,2.2492,103.7649,28.4535,36.8794,705
0.8000,70,3,4.4600,2.1902,85.1516,19.5441,46.4531,437
0.5000,50,3,4.4177,2.2217,98.3853,32.4291,38.4117,617
0.7000,60,3,4.4062,2.2180,91.6010,23.4368,43.4343,495
0.3000,50,3,4.3743,2.2172,105.8092,33.0638,34.3750,832
0.6000,20,5,4.3726,2.2502,108.4938,21.0345,38.7800,459
0.6000,30,5,4.3553,2.2663,111.0094,21.0052,39.8249,457
0.8000,60,3,4.3467,2.1925,86.4584,21.9474,46.5909,440
0.3000,70,3,4.3240,2.1660,100.1300,28.5659,33.4112,856
0.4000,20,5,4.2963,2.2008,110.0342,21.9740,33.8954,593
0.5000,20,5,4.2953,2.2040,107.7560,21.5404,36.3985,522
0.4000,60,3,4.2900,2.1800,99.0730,24.4655,36.3760,734
0.4000,70,3,4.2732,2.1372,94.7103,26.9809,35.7923,732
0.5000,30,5,4.2676,2.2110,109.7835,22.0506,36.3118,526
0.7000,80,3,4.2628,2.1300,80.8451,20.4352,42.7699,491
0.6000,80,3,4.2580,2.1371,84.0072,21.8753,39.4643,560
0.4000,30,5,4.2544,2.1973,111.4873,24.2060,34.2809,598
0.5000,60,3,4.2472,2.1555,93.9148,28.7965,37.9310,638
