noise_ratio,btc_ma,sortino,sharpe,cagr_pct,mdd_pct,win_rate,num_trades
0.3000,30,5.0001,1.9913,62.3174,19.1355,44.0329,1944
0.3000,10,4.5881,1.8581,57.0156,21.6559,43.1795,1994
0.3000,20,4.4406,1.7798,53.5526,19.7277,42.9439,1977
0.4000,30,4.3061,1.8118,50.2326,16.4964,46.2305,1605
0.3000,50,4.0528,1.7060,48.2132,23.5599,42.9704,1892
0.3000,70,4.0017,1.6481,46.2892,27.0956,42.3817,1923
0.6000,30,3.9405,1.7008,38.3395,17.6966,50.1792,1116
0.3000,60,3.9248,1.6570,46.4312,23.7158,42.5907,1930
0.5000,30,3.8784,1.6746,41.3977,16.0415,48.3582,1340
0.4000,20,3.8004,1.6222,43.5501,23.2816,45.2528,1622
0.6000,20,3.7559,1.6145,35.7422,19.4136,49.1495,1117
0.8000,20,3.7151,1.5416,27.9845,12.5374,49.6925,813
0.7000,30,3.6786,1.5978,32.4322,18.5188,50.2618,955
0.3000,80,3.6754,1.5486,41.4137,26.4529,42.0335,1908
0.8000,30,3.6727,1.5643,28.8506,15.6933,50.5508,817
0.4000,10,3.6322,1.5901,42.8459,28.4997,44.6126,1652
0.5000,20,3.5710,1.5403,37.1102,23.6702,47.5872,1347
0.7000,20,3.5580,1.5290,30.4968,16.7808,49.2662,954
0.8000,10,3.5391,1.4908,26.9911,13.6417,49.4559,827
0.8000,70,3.4406,1.4372,23.8750,23.9468,50.3145,795
0.4000,50,3.3806,1.5229,38.2352,31.2992,44.9294,1558
0.7000,70,3.3210,1.4359,26.3238,30.5800,49.6781,932
0.6000,10,3.2638,1.4547,31.7162,21.4245,48.0418,1149
0.4000,70,3.2581,1.4515,36.0785,34.2835,43.9899,1589
0.7000,10,3.2540,1.4328,28.2993,18.7716,48.9209,973
0.7000,50,3.2239,1.4587,26.9136,25.5080,50.4907,917
0.6000,50,3.1866,1.4553,29.6641,27.1808,49.4922,1083
0.4000,60,3.1561,1.4321,35.4578,30.0753,44.0350,1601
0.8000,50,3.1103,1.3991,23.3263,18.5132,51.0152,788
0.5000,10,3.0215,1.3947,33.4537,28.0462,46.8455,1379
0.6000,70,2.9944,1.3494,27.1918,33.3968,48.4685,1110
0.7000,60,2.9871,1.3626,24.9036,29.1753,49.4155,941
0.4000,80,2.9056,1.3353,31.6482,34.4278,43.7262,1578
0.8000,60,2.9043,1.3176,21.8474,21.1666,50.1244,804
0.5000,50,2.8967,1.3406,29.7459,30.8870,46.9419,1308
0.8000,80,2.8838,1.3026,20.9850,23.3310,50.0635,787
0.5000,70,2.8644,1.3006,28.6697,33.2069,46.4715,1332
0.6000,60,2.8584,1.3300,26.7759,29.2662,48.6074,1113
0.7000,80,2.8316,1.3007,22.9916,29.9768,49.6746,922
0.5000,60,2.7428,1.2769,28.0568,28.7908,46.4473,1337
0.6000,80,2.5144,1.1883,22.8567,34.1493,48.4134,1103
0.5000,80,2.4752,1.1644,24.4187,33.1280,46.4502,1324
