noise_ratio,btc_ma,ma_short,sortino_full,roll_mean,roll_min,neg_pct,sharpe,cagr_pct,mdd_pct,num_trades
0.6000,20,3,5.1734,5.3085,-0.3301,0.2959,2.5162,117.4668,17.7784,552
0.7000,10,3,4.9027,5.2475,0.1851,0.0000,2.3720,105.1050,26.1197,515
0.6000,10,3,5.0088,5.2207,-0.2882,0.0740,2.4002,110.9028,25.6634,576
0.3000,10,3,5.1225,5.1953,-0.0251,0.0370,2.4588,128.2259,23.4582,848
0.6000,30,3,5.1623,5.1495,0.2035,0.0000,2.5406,121.2065,17.8878,547
0.5000,10,3,4.8730,5.0993,-0.2797,0.1109,2.3633,112.2419,22.8317,647
0.5000,20,3,5.0428,5.0983,-0.2539,0.0740,2.4560,117.1201,17.5994,625
0.8000,10,3,4.7484,5.0571,0.2715,0.0000,2.3309,97.9688,23.8637,467
0.4000,10,3,4.9815,5.0567,-0.0316,0.0370,2.3979,118.6790,26.4145,741
0.5000,30,3,5.0847,5.0501,0.5319,0.0000,2.4951,121.9503,18.5340,622
0.4000,20,3,5.0697,5.0410,-0.0609,0.0370,2.4639,122.4207,19.6872,719
0.7000,20,3,4.8790,5.0375,-0.2511,0.1109,2.4036,106.3166,16.9588,502
0.3000,20,3,4.9201,4.9740,-0.8033,1.7382,2.4090,123.4426,20.0692,851
0.4000,30,3,5.0458,4.9448,0.3623,0.0000,2.4732,125.1782,23.8680,715
0.3000,30,3,4.9085,4.9235,0.2112,0.0000,2.4250,126.8487,24.9192,842
0.7000,30,3,4.7320,4.8822,-0.0428,0.0740,2.3664,104.5746,17.0070,501
0.8000,20,3,4.7510,4.8594,-0.1643,0.0370,2.3668,100.3222,17.6822,453
0.8000,30,3,4.7432,4.8411,0.4921,0.0000,2.3764,101.2877,16.7121,450
0.7000,50,3,4.6473,4.4470,-1.0332,12.7959,2.3194,98.0184,23.4060,475
0.6000,50,3,4.7219,4.4459,-1.1343,10.4290,2.3565,103.9163,25.0582,531
0.6000,20,5,4.3726,4.4258,-0.1504,0.0370,2.2502,108.4938,21.0345,459
0.8000,50,3,4.5953,4.3395,-0.7723,6.8417,2.3010,92.9885,20.8825,425
0.5000,20,5,4.2953,4.3066,0.1377,0.0000,2.2040,107.7560,21.5404,522
0.7000,20,5,4.2413,4.2992,-0.0826,0.0370,2.1958,102.5550,19.4372,419
0.6000,60,3,4.5085,4.2924,-1.0314,4.6228,2.2685,97.9799,23.8524,553
0.4000,20,5,4.2963,4.2787,0.3336,0.0000,2.2008,110.0342,21.9740,593
0.7000,60,3,4.4062,4.2561,-1.0306,5.5104,2.2180,91.6010,23.4368,495
0.6000,30,5,4.3553,4.2446,-0.1595,0.0740,2.2663,111.0094,21.0052,457
0.4000,10,5,4.1301,4.2129,0.3743,0.0000,2.1320,108.2924,26.5655,594
0.6000,10,5,4.1208,4.1994,-0.2775,0.1480,2.1287,102.9562,24.0744,473
0.7000,10,5,4.0431,4.1966,-0.3165,0.1850,2.0988,98.3593,24.5001,433
0.3000,10,5,4.1071,4.1650,-0.1231,0.7772,2.1143,109.5010,28.3360,682
0.5000,30,5,4.2676,4.1541,0.1931,0.0000,2.2110,109.7835,22.0506,526
0.3000,50,3,4.3743,4.1409,-1.7232,9.4305,2.2172,105.8092,33.0638,832
0.8000,60,3,4.3467,4.1409,-0.8614,4.5858,2.1925,86.4584,21.9474,440
